text
"The app crashes every single time I try to upload a photo from my gallery. This is on iPhone 15, latest version."
"Oh GREAT, another update and now the export-to-PDF button does absolutely nothing. Love it."
"No rush at all, but I noticed I can see another customer's saved credit card details in my account settings."
"La aplicacion se cierra cuando intento subir una foto. Please fix, it crashes every time on Android too."
"I was charged twice for my monthly subscription this month. Please refund the duplicate charge to jane.doe@example.com or call me at +1 (555) 123-4567."
"Could you please add a dark mode option? Staring at the white screen at night is rough."
"broken"
"!!!! ???? @@@@ #####"
"The checkout page throws a 500 error whenever I apply a discount code, and separately the search bar returns no results for valid product names."
"The app crashes every single time I try to upload a photo from my gallery. This is on iPhone 15, latest version."
